Governing Body
Home|About Us|Governing Body
S.No.	Members of Governing Body	Designation
 	Agriculture Production Commissioner, Govt. of U.P.	Chairperson
 	Principal Secretary/ Secretary, Rural Development, Govt. of U.P.	Vice Chairperson
 	Director, Agriculture, Govt. of U.P.	Member
 	Director, Panchayati Raj, Govt. of U.P.	Member
 	Director, Women and Child Development,Govt. of U.P.	Member
 	Director, Social Welfare, Govt. of U.P.	Member
 	Special Secretary, Finance,Govt. of U.P.	Member
 	Director, Animals Husbandry,Govt. of U.P.	Member
 	Director General D.D.U.S.I.R.D	Member
 	Director Institute Of Entrepreneurship Development Lucknow	Member
 	General Manager, Bank of Baroda	Member
 	Deputy General Manager, NABARD	Member
 	Commissioner, Rural Development, Govt. of U.P. and Chief Executive Officer, SRLM	Member Secretary/ Convener
